profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge,positive_rate_profile_beats_anchor
edges_narrow_bal_0.55,4,19,5,0.6088000675814296,0.512414949977674,0.5335666501735796,0.0,0.3186915887850467
late_boost_bal_0.60,0,3,2,0.6080591892622498,0.5145086562533056,0.5404023130355066,0.0,0.3355140186915888
triad_odd_bal_0.45,0,3,8,0.6078332465503775,0.5138461663629263,0.5300371403931268,0.0,0.3121495327102804
triad_odd_bal_0.45,0,3,1,0.6073369565217392,0.5121910797969278,0.5299771381150742,0.0,0.3121495327102804
edges_narrow_bal_0.55,4,19,9,0.6071547815872785,0.5144928375752748,0.53537686703756,0.0,0.3186915887850467
edges_narrow_bal_0.55,7,31,9,0.6066398754570798,0.5150865082525775,0.540218593743086,0.0,0.3186915887850467
late_boost_bal_0.60,7,31,7,0.6055753401580417,0.5128090609561645,0.5326179534493769,0.0,0.3355140186915888
edges_narrow_bal_0.55,3,15,0,0.6053646782440092,0.5168009847579742,0.539507781921163,0.0,0.3186915887850467
triad_odd_bal_0.45,7,31,7,0.6048229627701119,0.5173505841577715,0.5424415435433481,0.0,0.3121495327102804
edges_narrow_bal_0.55,0,3,11,0.6039325955693936,0.5167303460732373,0.5381414704592721,0.0,0.3186915887850467
triad_odd_bal_0.45,7,31,9,0.6038019070554543,0.5132293022650353,0.5339618995704244,0.0,0.3121495327102804
triad_odd_bal_0.45,0,3,14,0.6035496940900806,0.5148471263993752,0.5381482280005206,0.0,0.3121495327102804
edges_narrow_bal_0.55,2,11,3,0.6033613715812043,0.5118928029800192,0.5306401329101449,0.0,0.3186915887850467
edges_narrow_bal_0.55,3,15,2,0.601076475628447,0.5156916034096439,0.5345481899842712,0.0,0.3186915887850467
triad_odd_bal_0.45,0,3,2,0.5997115822702421,0.5172426207367874,0.5415987657836501,0.0,0.3121495327102804
edges_narrow_bal_0.55,1,7,13,0.5991817819774808,0.5175590231265261,0.5460772600557547,0.0,0.3186915887850467
late_boost_bal_0.60,0,3,14,0.5989798197054641,0.5153621757577895,0.5342933762717973,0.0,0.3355140186915888
edges_narrow_bal_0.55,3,15,6,0.5987191710011304,0.5177295053280715,0.544338245055091,0.0,0.3186915887850467
edges_narrow_bal_0.55,2,11,9,0.598485854160884,0.5160756107470565,0.538124575101875,0.0,0.3186915887850467
late_boost_bal_0.60,1,7,2,0.5983804050162782,0.5181301395891854,0.5357382399147499,0.0,0.3355140186915888
edges_narrow_bal_0.55,2,11,4,0.5981600151253675,0.5155808181375684,0.5336412713354172,0.0,0.3186915887850467
edges_narrow_bal_0.55,3,15,9,0.5981439243087988,0.5173136381738533,0.5427036192269168,0.0,0.3186915887850467
triad_odd_bal_0.45,1,7,12,0.5979847370476439,0.5164167859932308,0.5324850299401198,0.0,0.3121495327102804
edges_narrow_bal_0.55,6,27,1,0.5971422709773964,0.5122552486232297,0.5268690489120597,0.0,0.3186915887850467
triad_odd_bal_0.45,4,19,4,0.5967643517313199,0.5162395046862798,0.5332469571726113,0.0,0.3121495327102804
triad_odd_bal_0.45,4,19,8,0.5959833051288728,0.5144750715959384,0.5312247787034626,0.0,0.3121495327102804
edges_narrow_bal_0.55,4,19,10,0.5955734163619468,0.5143079540929002,0.5363622284171865,0.0,0.3186915887850467
edges_narrow_bal_0.55,1,7,7,0.5946280808885348,0.5160590372059906,0.5374674663802501,0.0,0.3186915887850467
triad_odd_bal_0.45,5,23,14,0.594360192658162,0.5143779289247593,0.5400672839104399,0.0,0.3121495327102804
triad_odd_bal_0.45,6,27,1,0.5941079796927884,0.5168675149700598,0.537082018029159,0.0,0.3121495327102804
late_boost_bal_0.60,7,31,9,0.5940199569831811,0.5135878299229379,0.5376128799721057,0.0,0.3355140186915888
late_boost_bal_0.60,7,31,15,0.593957273094116,0.5129995416240611,0.5294016822788729,0.0,0.3355140186915888
triad_odd_bal_0.45,4,19,9,0.5928550507680291,0.5141598867482426,0.5348822734964853,0.0,0.3121495327102804
late_boost_bal_0.60,7,31,13,0.5927976211464099,0.5155668386555874,0.5334269673926244,0.0,0.3355140186915888
late_boost_bal_0.60,1,7,12,0.5927310195142783,0.5149125755634695,0.5290249912830217,0.0,0.3355140186915888
triad_odd_bal_0.45,7,31,15,0.5924238479562614,0.5140167762301484,0.5335026278963811,0.0,0.3121495327102804
edges_narrow_bal_0.55,4,19,3,0.5910599423144226,0.5125905812405214,0.5347430899999597,0.0,0.3186915887850467
late_boost_bal_0.60,4,19,3,0.590736888293392,0.5162271350720278,0.536493972552292,0.0,0.3355140186915888
edges_narrow_bal_0.55,1,7,6,0.590665717308489,0.51311650958007,0.5321735877291434,0.0,0.3186915887850467
edges_narrow_bal_0.55,3,15,3,0.5900784025037311,0.5148466746316207,0.534471959740777,0.0,0.3186915887850467
edges_narrow_bal_0.55,1,7,14,0.5896519958646601,0.512059503839671,0.5261071487475311,0.0,0.3186915887850467
triad_odd_bal_0.45,1,7,0,0.5887911676646707,0.5159748437906795,0.5371019509893258,0.0,0.3121495327102804
edges_narrow_bal_0.55,1,7,10,0.5884532300302909,0.5148166652587202,0.5407861972975474,0.0,0.3186915887850467
triad_odd_bal_0.45,3,15,2,0.5882419942723249,0.5146273756834158,0.5420107475266858,0.0,0.3121495327102804
triad_odd_bal_0.45,6,27,14,0.5872982296277012,0.5141874674563914,0.5361950013017444,0.0,0.3121495327102804
late_boost_bal_0.60,1,7,10,0.5867407903654863,0.5175410677416954,0.538994472064533,0.0,0.3355140186915888
triad_odd_bal_0.45,4,19,10,0.5864724355636552,0.5195669259307472,0.5489114162978391,0.0,0.3121495327102804
triad_odd_bal_0.45,7,31,14,0.5854107003384534,0.512275774537881,0.5297359086175475,0.0,0.3121495327102804
late_boost_bal_0.60,6,27,1,0.5853304028615195,0.5136791133363892,0.5339509655277788,0.0,0.3355140186915888
late_boost_bal_0.60,4,19,8,0.5851110092497914,0.5156018632786024,0.5378283558407672,0.0,0.3355140186915888
triad_odd_bal_0.45,4,19,5,0.5845767703722988,0.517032592423848,0.5442631720255141,0.0,0.3121495327102804
edges_narrow_bal_0.55,4,19,4,0.5843460491011268,0.5117128271966981,0.5279274223718669,0.0,0.3186915887850467
late_boost_bal_0.60,4,19,5,0.5843157074072769,0.5172151898734176,0.537220322116835,0.0,0.3355140186915888
late_boost_bal_0.60,3,15,6,0.583955275045152,0.515114339331398,0.5291482043024655,0.0,0.3355140186915888
late_boost_bal_0.60,0,3,11,0.5837789766071562,0.5142941989978412,0.5328972885300236,0.0,0.3355140186915888
edges_narrow_bal_0.55,4,19,15,0.583316236840729,0.5144325774672251,0.5300564385391148,0.0,0.3186915887850467
edges_narrow_bal_0.55,2,11,1,0.5832438281661698,0.5167655849615229,0.5388649537992429,0.0,0.3186915887850467
