profile,layer_position,layer_index,head_index,auc,null_mean,null_q95,p_value_perm_ge
edges_narrow_bal_0.55,5,23,2,0.678546450201634,0.5303444889212957,0.5620563682088064,0.0
edges_narrow_bal_0.55,4,19,11,0.6784125236231604,0.5288323090430203,0.5727161798187527,0.0
edges_narrow_bal_0.55,5,23,5,0.6780702668115058,0.5319230368595707,0.5733753961994613,0.0
constant_2.6,5,23,8,0.6768775166214066,0.5152610263133253,0.534993132940038,0.0
baseline,6,27,1,0.6767258346362549,0.513119764554401,0.5291338177136026,0.0
edges_narrow_bal_0.55,5,23,13,0.6764185056769988,0.5251526018958051,0.568395559589887,0.0
constant_2.6,3,15,10,0.6757187002528326,0.5152067921465805,0.5358427365233949,0.0
constant_2.6,6,27,13,0.6753948559478103,0.5142437650216937,0.5317334254143646,0.0
baseline,6,27,2,0.6737091878966246,0.5139692817069805,0.5348095281890922,0.0
edges_narrow_bal_0.55,3,15,6,0.672728084403506,0.5353438192884034,0.5744542491927203,0.0
constant_2.6,1,7,11,0.6726168180541249,0.5161556949776821,0.5344855167462621,0.0
edges_narrow_bal_0.55,2,11,12,0.6714334608115952,0.5304992485230873,0.5726112706656151,0.0
edges_narrow_bal_0.55,1,7,14,0.6713144149640632,0.5276998854183718,0.561438817874734,0.0
constant_2.6,4,19,2,0.6710483191310048,0.5148788119986265,0.5326911071573492,0.0
constant_2.6,1,7,5,0.6710366139151605,0.5138674033149172,0.5326255579486219,0.0
baseline,1,7,1,0.670979490481008,0.5150679297342041,0.5391060424905729,0.0
edges_narrow_bal_0.55,6,27,15,0.6709275159595839,0.5305191887025491,0.5845880269638845,0.0
baseline,2,11,8,0.6708617676814127,0.5126975075876024,0.5273854501977375,0.0
baseline,3,15,10,0.6703504092706705,0.5152327416536375,0.5370311781477053,0.0
baseline,7,31,0,0.6702179711211257,0.5158788190931667,0.5399302860296147,0.0
baseline,5,23,11,0.6700487445967074,0.5149773567552652,0.5412519083969465,0.0
constant_2.6,1,7,8,0.6696202827980149,0.5167985454318444,0.5420353809657583,0.0
edges_narrow_bal_0.55,2,11,14,0.6695882501748486,0.5270010862933587,0.5604440410112944,0.0
baseline,4,19,12,0.6689855605628622,0.5116525705876944,0.5252500689782029,0.0
constant_2.6,6,27,10,0.6684146455660642,0.5152753847114273,0.5331472204014108,0.0
edges_narrow_bal_0.55,5,23,1,0.6682787458519963,0.523473162601747,0.5567305546048422,0.0
baseline,0,3,11,0.6678414421042951,0.5168689414145132,0.5406991630644716,0.0
constant_2.6,6,27,2,0.6678059743421669,0.5139194525080375,0.5303773761588163,0.0
baseline,5,23,7,0.6677273981421871,0.5130646555688403,0.5296510622643245,0.0
edges_narrow_bal_0.55,6,27,3,0.6671031681076174,0.5282763649350457,0.5654625675213166,0.0
